disease,diet_1,diet_2,diet_3,diet_4,diet_5,disease_code
allergy,elimination diet,omega-3-rich foods,vitamin c-rich foods,quercetin-rich foods,probiotics,29
drug reaction,antihistamine diet,omega-3-rich foods,vitamin c-rich foods,quercetin-rich foods,probiotics,205
diabetes,low-glycemic diet,fiber-rich foods,lean proteins,healthy fats,low-fat dairy,178
migraine,migraine diet,low-tyramine diet,caffeine withdrawal,hydration,magnesium-rich foods,449
malaria,malaria diet,hydration,high-calorie diet,soft and bland foods,oral rehydration solutions,435
tuberculosis,tb diet,high-calorie diet,soft and bland foods,hydration,protein-rich foods,725
common cold,cold diet,hydration,warm fluids,rest,honey and lemon tea,137
pneumonia,pneumonia diet,high-calorie diet,soft and bland foods,hydration,protein-rich foods,565
heart attack,heart-healthy diet,low-sodium foods,fruits and vegetables,whole grains,lean proteins,305
varicose veins,varicose veins diet,high-fiber diet,fruits and vegetables,whole grains,low-sodium foods,748
hypothyroidism,hypothyroidism diet,iodine-rich foods,selenium-rich foods,fruits and vegetables,whole grains,355
hypoglycemia,hypoglycemia diet,complex carbohydrates,protein-rich snacks,fiber-rich foods,healthy fats,351
acne,acne diet,low-glycemic diet,hydration,fruits and vegetables,probiotics,8
urinary tract infection,uti diet,hydration,cranberry juice,probiotics,vitamin c-rich foods,735
psoriasis,psoriasis diet,anti-inflammatory diet,omega-3-rich foods,fruits and vegetables,whole grains,604
impetigo,impetigo diet,antibiotic treatment,fruits and vegetables,hydration,protein-rich foods,364
stroke,dash diet,low-sodium diet,healthy fats,fruits and vegetables,whole grains,678
celiac disease,gluten-free diet,whole grains,fruits and vegetables,lean proteins,dairy alternatives,102
lyme disease,antibiotics,anti-inflammatory diet,omega-3 fatty acids,probiotics,hydration,427
multiple sclerosis,low-fat,high-fiber diet,omega-3 fatty acids,fruits and vegetables,lean proteins,459
carpal tunnel syndrome,anti-inflammatory diet,omega-3 fatty acids,vitamin b6,magnesium,whole grains,99
lymphoma,balanced diet,hydration,nutritional supplements,high-calorie foods,small,432
myopia,eye-healthy diet,omega-3 fatty acids,vitamin a,vitamin c,zinc,467
vitamin b12 deficiency,vitamin b12-rich foods,lean proteins,dairy products,fortified cereals,supplements if necessary,757
melanoma,balanced diet,sun protection measures,vitamin d,fruits and vegetables,avoid excessive alcohol,442
autism,balanced diet,high-fiber foods,lean proteins,fruits and vegetables,whole grains,66
sepsis,high-protein diet,hydration,antibiotics,vitamin c,zinc,645
iron deficiency anemia,iron-rich foods,vitamin c,lean meats,legumes,nuts and seeds,398
strep throat,hydration,soft foods,rest,antibiotics,warm fluids,675
tonsillitis,hydration,soft foods,rest,over-the-counter pain relief,balanced diet,710
rheumatic fever,antibiotics,supportive care,rest,hydration,heart-healthy diet,624
glaucoma,low-sodium diet,hydration,regular eye exams,avoid tobacco,physical activity,290
leukemia,hydration,high-calorie,nutrient-dense foods,antibiotics,blood transfusions,416
eczema,avoid triggers,hydration,emollients,topical steroids,antihistamines,216
chickenpox,comfort measures,hydration,antihistamines,calamine lotion,avoid scratching,112
diabetic retinopathy,blood sugar control,healthy fats,antioxidants,regular eye exams,balanced diet,183
chlamydia,antibiotics,partner treatment,hydration,rest,avoid sexual contact,113
endometriosis,pain management,healthy fats,fruits and vegetables,whole grains,lean proteins,224
cerebral palsy,physical therapy,occupational therapy,speech therapy,hydration,high-calorie foods,107
pelvic inflammatory disease,antibiotics,partner treatment,rest,pain relief,balanced diet,539
necrotizing fasciitis,surgical debridement,intravenous antibiotics,supportive care,hydration,nutritional support,471
mumps,supportive care,hydration,rest,pain relief,soft foods,460
mononucleosis,rest,hydration,pain relief,antibiotics,soft foods,455
carbon monoxide poisoning,remove from exposure,high-flow oxygen therapy,supportive care,hydration,rest,95
colorectal cancer,surgery,chemotherapy,radiation therapy,balanced diet,hydration,136
scurvy,vitamin c supplementation,fruits and vegetables,hydration,rest,balanced diet,639
osteomyelitis,antibiotics,surgical debridement,hydration,rest,balanced diet,518
asthma,avoid triggers,inhaled medications,hydration,regular exercise,balanced diet,55
peritonitis,antibiotics,surgical intervention,hydration,rest,nutritional support,547
gonorrhea,antibiotics,partner treatment,hydration,rest,avoid sexual contact,293
narcolepsy,sleep hygiene,medications,regular sleep schedule,hydration,balanced diet,469
diabetes,blood sugar control,healthy eating,regular exercise,medications,monitoring,178
common cold,hydration,rest,saline nasal sprays,antihistamines,chicken soup,137
presbyopia,eyeglasses,contact lenses,surgery,hydration,balanced diet,592
scabies,topical scabicides,hydration,laundry precautions,rest,balanced diet,631
osteoarthritis,exercise,weight management,physical therapy,hydration,anti-inflammatory diet,515
neuralgia,pain management,physical therapy,hydration,rest,balanced diet,474
laryngitis,rest,hydration,humidified air,avoid irritants,balanced diet,414
astigmatism,eyeglasses,contact lenses,surgery,hydration,balanced diet,56
epilepsy,antiepileptic medications,seizure precautions,hydration,balanced diet,regular sleep,230
muscular dystrophy,physical therapy,occupational therapy,respiratory support,hydration,balanced diet,462
irritable bowel syndrome,dietary changes,fiber supplements,probiotics,hydration,antispasmodic medications,399
bunion,proper footwear,padding or splinting,hydration,rest,avoid high heels,91
scarlet fever,antibiotics,supportive care,hydration,rest,soft foods,633
dementia,memory care programs,support groups,hydration,healthy fats,fruits and vegetables,171
genital herpes,antiviral medications,hydration,pain relief,rest,avoid sexual contact during outbreaks,288
multiple myeloma,chemotherapy,immunotherapy,bone marrow transplant,hydration,balanced diet,458
appendicitis,surgical removal of appendix,antibiotics,hydration,rest,balanced diet,49
anxiety,therapy (cbt),medications,hydration,regular exercise,balanced diet,44
lactose intolerance,dairy avoidance,lactase enzyme supplements,calcium-rich non-dairy foods,hydration,balanced diet,413
syphilis,antibiotics,partner treatment,hydration,rest,avoid sexual contact,686
myasthenia gravis,medications,physical therapy,hydration,rest,balanced diet,463
pericarditis,treat underlying cause,rest,hydration,medications,balanced diet,542
trichinosis,anthelmintic medications,cooking meat thoroughly,hydration,balanced diet,rest,720
schizophrenia,antipsychotic medications,therapy (cbt),hydration,healthy diet,regular exercise,634
ectopic pregnancy,medical intervention,surgery,not specified,not specified,not specified,214
preeclampsia,bed rest,low-sodium diet,monitor blood pressure,not specified,not specified,584
pulmonary embolism,anticoagulants,supportive care,not specified,not specified,not specified,609
rocky mountain spotted fever,antibiotics,supportive care,not specified,not specified,not specified,626
varicose veins,compression stockings,healthy diet,regular exercise,not specified,not specified,748
sciatica,physical therapy,anti-inflammatory diet,not specified,not specified,not specified,635
pinguecula,avoid irritants,eye drops,not specified,not specified,not specified,555
fibromyalgia,balanced diet,low-inflammatory foods,regular exercise,not specified,not specified,246
sarcoidosis,balanced diet,healthy fats,fruits and vegetables,not specified,not specified,630
lung cancer,balanced diet,high-calorie foods,protein-rich foods,small,frequent meals,425
chalazion,warm compresses,good eyelid hygiene,not specified,not specified,not specified,111
corneal abrasion,antibiotic eye drops,not specified,not specified,not specified,not specified,152
obesity,low-calorie diet,regular exercise,healthy fats,fruits and vegetables,lean proteins,482
amblyopia,corrective lenses,not specified,not specified,not specified,not specified,33
